2013/7/12,Mavericks,,Shane Larkin,fractured right ankle (out indefinitely)
2013/7/12,Suns,,Alex Len,surgery on left / right (P) ankle to repair stress fracture (out indefinitely)
2013/7/15,Knicks,,J.R. Smith,surgery on left knee to repair tear in lateral meniscus (out indefinitely)
2013/7/16,Mavericks,,Shane Larkin,surgery to repair fractured right ankle (out indefinitely)
2013/8/1,Pacers,,Chris Copeland,arthroscopic surgery on left knee to remove loose body (out indefinitely)
2013/9/9,Pelicans,,Darius Miller,surgery on left foot to repair stress fracture (out indefinitely)
2013/9/18,Wizards,,Chris Singleton,surgery on left foot (out indefinitely)
2013/9/18,Wizards,,Emeka Okafor,herniated disc in neck (out indefinitely)
2013/9/19,Wizards,,Chris Singleton,surgery on left foot to repair fractured bone (out indefinitely)
2013/9/27,76ers,,Arnett Moultrie,surgery on left ankle (out indefinitely)
2013/9/27,Timberwolves,,Chase Budinger,damaged cartilage in left knee (out indefinitely)
2013/10/1,Thunder,,Russell Westbrook,arthroscopic surgery on right knee (out indefinitely)
2013/10/5,Blazers,,C.J. McCollum,fractured bone in left foot (out indefinitely)
2013/10/8,Hawks,,Gustavo Ayon,strained right rotator cuff (out indefinitely)
2013/10/10,Bobcats,,Brendan Haywood,stress fracture in left foot (out indefinitely)
2013/10/10,Mavericks,,Brandan Wright,fractured left shoulder (surgery) (out indefinitely)
2013/10/10,Pistons,,Rodney Stuckey,fractured right thumb (out indefinitely)
2013/10/11,Bucks,,Ekpe Udoh,arthroscopic surgery on right knee (out indefinitely)
2013/10/11,Pistons,,Rodney Stuckey,surgery to repair fractured right thumb (out indefinitely)
2013/10/12,Bobcats,,Cody Zeller,appendectomy (out indefinitely)
2013/10/12,Jazz,,Trey Burke,fractured right index finger (out indefinitely)
2013/10/15,Jazz,,Trey Burke,surgery to repair fractured right index finger (out indefinitely)
2013/10/15,Kings,,Carl Landry,surgery on left hip to repair torn hip flexor muscle (out indefinitely)
2013/10/15,Pistons,,Brandon Jennings,impacted wisdom tooth (out indefinitely)
2013/10/16,Clippers,,Maalik Wayns,surgery on left knee to repair torn meniscus (out indefinitely) (date approximate)
2013/10/17,Bobcats,,Brendan Haywood,surgery on left foot to repair stress fracture (out indefinitely)
2013/10/28,Pacers,,Danny Granger,strained left calf (out indefinitely)
2013/10/29,Bucks,,Carlos Delfino,recovering from surgery on right foot (out indefinitely)
2013/10/29,Cavaliers,,Carrick Felix,sports hernia (out indefinitely)
2013/10/29,Celtics,,Rajon Rondo,recovering from surgery on left knee to repair torn ACL (out indefinitely)
2013/10/29,Hawks,,Louis Williams / Lou Williams,recovering from surgery on right knee (out indefinitely)
2013/10/29,Nuggets,,Danilo Gallinari,recovering from surgery on left knee to repair torn ACL (out indefinitely)
2013/10/29,Timberwolves,,Chase Budinger,recovering from surgery on left knee (out indefinitely)
2013/10/29,Warriors,,Festus Ezeli,recovering from surgery on right knee (out for season)
2013/11/1,Timberwolves,,Ronny Turiaf,fractured right elbow (out indefinitely)
2013/11/6,Knicks,,Tyson Chandler,fractured right fibula (out indefinitely)
2013/11/8,Bobcats,,Steve Clifford,head coach underwent heart procedure (out indefinitely)
2013/11/10,Nuggets,,JaVale McGee,stress fracture in left tibia (out indefinitely)
2013/11/11,Bobcats,Steve Clifford,,head coach returned to team
2013/11/11,Bucks,,Larry Sanders,surgery on right thumb to repaor torn ligament (out indefinitely)
2013/11/11,Lakers,,Steve Nash,nerve irritation in back (out indefinitely)
2013/11/21,Clippers,,Matt Barnes,surgery on left eye to repair torn retina (out indefinitely)
2013/11/23,Bulls,,Derrick Rose,torn meniscus in right knee (out for season)
2013/11/23,Grizzlies,,Marc Gasol,sprained MCL in left knee (out indefinitely)
2013/11/25,Bulls,,Derrick Rose,surgery on right knee to repair torn meniscus (out for season)
2013/11/30,Jazz,,Andris Biedrins,sprained left ankle (out indefinitely)
2013/12/1,Pelicans,,Anthony Davis,fractured left hand (out indefinitely)
2013/12/2,Lakers,,Jordan Farmar,torn left hamstring (out indefinitely)
2013/12/4,Bobcats,,Michael Kidd-Gilchrist,fractured left hand (out indefinitely)
2013/12/9,Bucks,,Zaur Pachulia / Zaza Pachulia,fractured right foot (out indefinitely)
2013/12/9,Pelicans,,Tyreke Evans,sprained left ankle (out indefinitely)
2013/12/12,Lakers,,Steve Blake,torn ligament in right elbow (out indefinitely)
2013/12/13,Warriors,,Jermaine O'Neal,arthroscopic surgery on right wrist to repair torn ligament (out indefinitely)
2013/12/14,Bucks,,Carlos Delfino,surgery on right foot (out for season)
2013/12/16,Knicks,,Pablo Prigioni,fractured right toe (out indefinitely)
2013/12/18,Wizards,,Glen Rice Jr.,surgery on fractured right wrist
2013/12/19,Lakers,,Kobe Bryant,fractured left tibia (out for season)
2013/12/21,Nets,,Brook Lopez,fractured right foot (out for season)
2013/12/21,Rockets,,Patrick Beverley,fractured right hand (out indefinitely)
2013/12/27,Hawks,,Al Horford,torn right pectoral muscle (out for season)
2013/12/27,Thunder,,Russell Westbrook,arthroscopic surgery on right knee (out indefinitely)
2013/12/30,Lakers,,Xavier Henry,right knee injury (out indefinitely)
2013/12/31,Hawks,,Al Horford,surgery to repair torn pectoracl muscle (out for season)
2014/1/3,Clippers,,Chris Paul,separated right shoulder (out indefinitely)
2014/1/4,Nets,,Brook Lopez,surgery on right foot to repair fracture (out for season)
2014/1/10,Suns,,Eric Bledsoe,arthroscopic surgery on right knee to repair meniscus cartilage
